date,price
2015-01-05,7276.63
2015-01-06,7277.74
2015-01-07,7309.70
2015-01-08,7367.63
2015-01-09,7402.72
2015-01-12,7358.36
2015-01-13,7399.00
2015-01-14,7490.88
2015-01-19,7485.32
2015-01-20,7452.81
2015-01-21,7474.10
2015-01-22,7416.31
2015-01-23,7548.93
2015-01-26,7586.67
2015-01-27,7630.57
2015-01-28,7661.18
2015-01-29,7617.30
2015-01-30,7689.91
2015-02-02,7630.71
2015-02-03,7613.15
2015-02-04,7716.06
2015-02-05,7674.24
2015-02-06,7728.18
2015-02-09,7782.57
2015-02-10,7723.14
2015-02-11,7686.43
2015-02-12,7714.59
2015-02-13,7773.45
2015-02-16,7784.65
2015-02-17,7793.40
2015-02-18,7803.45
2015-02-20,7825.39
2015-02-23,7826.07
2015-02-24,7834.86
2015-02-25,7844.06
2015-02-26,7764.39
2015-02-27,7730.57
2015-03-02,7773.92
2015-03-03,7776.51
2015-03-04,7847.83
2015-03-05,7819.04
2015-03-06,7861.33
2015-03-09,7820.29
2015-03-10,7828.48
2015-03-11,7790.70
2015-03-12,7839.82
2015-03-13,7809.54
2015-03-16,7730.95
2015-03-17,7789.10
2015-03-18,7756.58
2015-03-19,7814.55
2015-03-20,7818.38
2015-03-23,7840.49
2015-03-24,7828.94
2015-03-25,7836.34
2015-03-26,7871.10
2015-03-27,7877.96
2015-03-30,7899.41
2015-03-31,7940.49
2015-04-01,7993.09
2015-04-06,8053.74
2015-04-07,8098.68
2015-04-08,8052.69
2015-04-10,8127.48
2015-04-13,8073.25
2015-04-14,8056.49
2015-04-15,7906.46
2015-04-16,7948.20
2015-04-17,7946.89
2015-04-20,7865.27
2015-04-21,7846.94
2015-04-22,7833.03
2015-04-23,7892.05
2015-04-24,7947.25
2015-04-27,7958.07
2015-04-28,7886.57
2015-04-29,7825.47
2015-04-30,7714.82
2015-05-04,7816.44
2015-05-05,7919.21
2015-05-06,7873.64
2015-05-07,7816.27
2015-05-08,7763.21
2015-05-11,7777.90
2015-05-12,7794.55
2015-05-13,7808.35
2015-05-14,7831.44
2015-05-15,7881.95
2015-05-18,7910.43
2015-05-19,7871.31
2015-05-20,7881.93
2015-05-21,7835.38
2015-05-22,7810.17
2015-05-25,7761.53
2015-05-26,7728.50
2015-05-27,7598.70
2015-05-28,7505.03
2015-05-29,7580.46
2015-06-01,7670.37
2015-06-02,7551.96
2015-06-03,7561.67
2015-06-04,7553.65
2015-06-05,7526.70
2015-06-08,7484.89
2015-06-09,7323.44
2015-06-10,7384.27
2015-06-11,7503.72
2015-06-15,7456.16
2015-06-16,7505.48
2015-06-17,7536.31
2015-06-18,7606.86
2015-06-19,7601.17
2015-06-22,7609.14
2015-06-23,7551.56
2015-06-24,7643.33
2015-06-25,7581.91
2015-06-26,7622.05
2015-06-29,7567.38
