date,price_x,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,returns_x,price_y,returns_y,excess_return,exp_return,abnormal_return,cumulative_abnormal_return
2015-01-06,701.0,,,,,,7277.74,0.00015254314153656523,,,,
2015-01-07,701.5,,,,,0.0007132667617688604,7309.7,0.004391473177112637,-0.0036782064153437766,,,
2015-01-08,710.0,,,,,0.012116892373485344,7367.63,0.00792508584483631,0.004191806528649034,,,
2015-01-09,715.0,,,,,0.007042253521126751,7402.72,0.004762725598326689,0.002279527922800062,,,
2015-01-12,710.0,,,,,-0.006993006993006978,7358.36,-0.005992391985648604,-0.0010006150073583742,,,
2015-01-13,716.0,,,,,0.008450704225352101,7399.0,0.00552296979218192,0.0029277344331701816,,,
2015-01-14,711.0,,,,,-0.006983240223463638,7490.88,0.012417894310041921,-0.01940113453350556,,,
2015-01-19,711.0,,,,,0.0,7485.32,-0.0007422358921782557,0.0007422358921782557,,,
2015-01-20,701.0,,,,,-0.01406469760900142,7452.81,-0.004343167693565464,-0.009721529915435956,,,
2015-01-21,702.0,,,,,0.0014265335235377208,7474.1,0.002856640649634201,-0.0014301071260964804,,,
2015-01-22,694.5,,,,,-0.010683760683760646,7416.31,-0.007732034626242612,-0.0029517260575180337,,,
2015-01-23,719.0,,,,,0.03527717782577389,7548.93,0.017882208267993027,0.01739496955778086,,,
2015-01-26,720.0,,,,,0.0013908205841446364,7586.67,0.0049993840186621785,-0.003608563434517542,,,
2015-01-27,722.0,,,,,0.002777777777777768,7630.57,0.0057864649444354654,-0.0030086871666576975,,,
2015-01-28,720.0,,,,,-0.0027700831024930483,7661.18,0.004011495864660208,-0.006781578967153257,,,
2015-01-29,717.0,,,,,-0.004166666666666652,7617.3,-0.005727577213954005,0.001560910547287353,,,
2015-01-30,726.5,,,,,0.01324965132496514,7689.91,0.009532248959605027,0.003717402365360112,,,
2015-02-02,715.0,,,,,-0.015829318651066737,7630.71,-0.007698399591152594,-0.008130919059914143,,,
2015-02-03,715.0,,,,,0.0,7613.15,-0.0023012275397702453,0.0023012275397702453,,,
2015-02-04,730.0,,,,,0.020979020979021046,7716.06,0.01351740081306696,0.007461620165954086,,,
2015-02-05,723.0,,,,,-0.009589041095890427,7674.24,-0.005419864542266506,-0.004169176553623921,,,
2015-02-06,730.0,,,,,0.009681881051175623,7728.18,0.007028709031773994,0.0026531720194016284,,,
2015-02-09,728.0,,,,,-0.002739726027397249,7782.57,0.007037879552494797,-0.009777605579892046,,,
2015-02-10,719.0,,,,,-0.012362637362637319,7723.14,-0.007636294951410605,-0.004726342411226714,,,
2015-02-11,724.0,,,,,0.006954102920723182,7686.43,-0.0047532480312412195,0.011707350951964401,,,
2015-02-12,727.5,,,,,0.004834254143646355,7714.59,0.0036635993562681435,0.0011706547873782114,,,
2015-02-13,729.5,,,,,0.0027491408934707806,7773.45,0.0076296990507596085,-0.004880558157288828,,,
2015-02-16,730.0,,,,,0.0006854009595613775,7784.65,0.001440801703233463,-0.0007554007436720855,,,
2015-02-17,730.0,,,,,0.0,7793.4,0.0011240068596531927,-0.0011240068596531927,,,
2015-02-18,736.5,,,,,0.008904109589041198,7803.45,0.001289552698437113,0.007614556890604085,,,
2015-02-20,743.0,,,,,0.008825526137135054,7825.39,0.0028115769307166527,0.006013949206418401,,,
2015-02-23,740.0,,,,,-0.004037685060565233,7826.07,8.689662751626415e-05,-0.004124581688081497,,,
2015-02-24,741.5,,,,,0.002027027027027062,7834.86,0.0011231691001996058,0.000903857926827456,,,
2015-02-25,738.0,,,,,-0.004720161834120051,7844.06,0.0011742392333751184,-0.00589440106749517,,,
2015-02-26,729.5,,,,,-0.011517615176151796,7764.39,-0.010156730060708385,-0.001360885115443411,,,
2015-02-27,717.0,,,,,-0.01713502398903355,7730.57,-0.00435578326178887,-0.012779240727244678,,,
2015-03-02,725.0,,,,,0.01115760111576014,7773.92,0.005607607201021381,0.00554999391473876,,,
2015-03-03,724.0,,,,,-0.0013793103448276334,7776.51,0.0003331652499640736,-0.001712475594791707,,,
2015-03-04,735.0,,,,,0.015193370165745845,7847.83,0.009171209192812668,0.006022160972933177,,,
2015-03-05,728.5,,,,,-0.008843537414966018,7819.04,-0.003668530026771699,-0.005175007388194319,,,
2015-03-06,732.0,,,,,0.0048043925875085325,7861.33,0.005408592359164244,-0.0006041997716557113,,,
2015-03-09,732.0,,,,,0.0,7820.29,-0.005220490680330148,0.005220490680330148,,,
2015-03-10,741.0,,,,,0.012295081967213184,7828.48,0.0010472757404136335,0.01124780622679955,,,
2015-03-11,745.0,,,,,0.005398110661268607,7790.7,-0.0048259687704381715,0.010224079431706778,,,
2015-03-12,754.0,,,,,0.012080536912751683,7839.82,0.00630495334180492,0.005775583570946763,,,
2015-03-13,758.0,,,,,0.0053050397877985045,7809.54,-0.0038623335739851328,0.009167373361783637,,,
2015-03-16,751.0,,,,,-0.00923482849604218,7730.95,-0.010063332795529623,0.0008285042994874425,,,
2015-03-17,753.0,,,,,0.0026631158455392434,7789.1,0.007521714666373525,-0.004858598820834281,,,
2015-03-18,760.0,,,,,0.009296148738379806,7756.58,-0.004175065155152757,0.013471213893532563,,,
2015-03-19,770.0,,,,,0.013157894736842035,7814.55,0.007473654626136916,0.005684240110705119,,,
2015-03-20,770.0,,,,,0.0,7818.38,0.0004901113947699542,-0.0004901113947699542,,,
2015-03-23,770.0,,,,,0.0,7840.49,0.002827951570529841,-0.002827951570529841,,,
2015-03-24,769.0,,,,,-0.0012987012987012436,7828.94,-0.0014731222155758283,0.00017442091687458472,,,
